employer_description,industry
"Credit Suisse offers you the ideal environment to progress your career, attractive benefits and excellent training. Credit Suisse We are offering a position in the new MiFID/FIDLEG Front Support team in the International Wealth Management division. You will be responsible for the day to day support and advisory tasks for our front offices in the specialist area of MiFID and FIDLEG investor protection. In this role you take over written and telephone support inquiries from the front offices. We are a department which values Diversity and Inclusion (D&I) and is committed to realizing the firm’s D&I ambition which is an integral part of our global cultural values. Qualifications We are looking for: Completed basic banking training, matura or equivalent degree Minimum of 3 years of working experience preferably within Private Banking and an regulatory driven environment, ideally in the field of MiFID/FIDLEG investor protection High sense of responsibility and independent working practice, showing initiative and high level of reliability Distinct solution orientation, service understanding and willingness to perform Good communication skills (written and verbal) Fluency in English and German are a must, any additional language skills would be an advantage Someone who understands the value of diversity in the workplace and is dedicated to fostering an inclusive culture in all aspects of working life so that people from all backgrounds receive equal treatment, realize their full potential and can bring their full, authentic selves to work Ms V. Krause would be delighted to receive your application. We are a leading wealth manager with strong global investment banking capabilities founded in 1856. Headquartered in Zurich, Switzerland, and with more than 45,000 employees from over 150 nations, we are always looking for motivated individuals to help us shape the future for our clients.",financial and insurance
"You'll also be responsible for validating the function and performance of wireless protocol (Layer 1/AS/NAS/IMS) features for In-Market projects to guarantee the modem SW quality.The Google Pixel team focuses on designing and delivering the world's most helpful mobile experience. This includes bringing together the best of Google’s artificial intelligence, software, and hardware to build global smartphones and create transformative experiences for users across the world. Minimum qualifications: Bachelor's degree in Communications, Computer Science, or equivalent practical experience. Preferred qualifications: Experience with LTE and 5G NR. You'll also be responsible for validating the function and performance of wireless protocol (Layer 1/AS/NAS/IMS) features for In-Market projects to guarantee the modem SW quality.The Google Pixel team focuses on designing and delivering the world's most helpful mobile experience. Lead and collaborate with cross-layer engineering teams such as Layer 1 (PHY), AS layer, NAS layer and/or IMS function.",information and communication
"Description du poste Coop hat den Anspruch, die beste und kundennächste Detailhändlerin in der Schweiz zu sein. Wenn ja, dann sind Sie die richtige Person für unser Team. Sie stellen den reibungslosen Ablauf an unseren Kassen sicher und sind für die Einhaltung der entsprechenden Prozesse und Regelungen verantwortlich.",wholesale and retail stores
"Our property boasts 250 newly renovated rooms and offers the perfect location for special events or just a weekend getaway. We are seeking a Human Resources Training Manager to join our exceptional team! What will I be doing? Since being founded in 1919, Hilton has been a leader in the hospitality industry. This continued leadership is the result of our Team Members staying true to our Vision, Mission, and Values. Integrity - We do the right thing, all the time. Leadership - We're leaders in our industry and in our communities. Teamwork - We're team players in everything we do. Ownership - We're the owners of our actions and decisions. Hilton is the leading global hospitality company, spanning the lodging sector from luxurious full-service hotels and resorts to extended-stay suites and mid-priced hotels. And, our amazing Team Members are at the heart of it all!","accommodation, hotel, restaurants and food service"
"Am Hauptsitz in Luzern stellt ein erfahrenes und motiviertes Fachspezialisten-Team die business-seitige Betreuung der Prozesse und Systeme rund um den Kernprozess Anlegen/Handel sicher. Wir suchen eine jüngere qualifizierte und kompetente Persönlichkeit für folgende Tätigkeiten: Aufgaben Betrieb und Fachsupport Fachsupport Anlegen/Handel (Support-Telefon und Ticketbearbeitung) Überwachung Tagesbetrieb und periodische Verarbeitungen Betriebliche Weiterentwicklungen und Mitarbeit in Projekten Unterstützung in der Erstellung von fachlichen Spezifikationen, Requirements und Erfassung von Issues Schnittstellenfunktion zwischen Business und ICT / Parametrierer Erstellung von Dokumentationen (Arbeitsinstruktionen und Benutzeranleitungen) Testing Selbständige Durchführung von System- und Abnahmetests im Bereich Anlegen/Handel Beurteilung und Dokumentation der Testergebnisse Erstellung und Pflege der Testfälle Anforderungen Sehr gute bankfachliche Kenntnisse und praktische Bankerfahrung im Wertschriftengeschäft (Anlegen/Handel) Kenntnisse der Avaloq Banking Plattform sowie Erfahrung in Testing und Systemmanagement Sicherheit in der Erstellung von Analysen und Konzeptionen Erfahrungen im Requirements-Engeneering Strukturierte Arbeitsmethodik und ausgeprägte Lernbereitschaft und Eigeninitiative Serviceorientiert im Umgang mit verschiedenen Anspruchsgruppen (Vertrieb, Backoffice, Produktemanagement, Businessanalyse, ICT) Motiviert in einem kleinen Team die Prozesse im Bereich Anlegen/Handel der LUKB optimal zu betreuen und weiter zu entwickeln. Angebot Die LUKB als Arbeitgeberin Organisation und Kultur überschaubare, familiäre Organisationsstruktur mit kurzen Kommunikationswegen Ausgewogenheit zwischen Aufgaben, Kompetenzen und Verantwortung im Arbeitsalltag Orientierung an den LUKB-Werten führend, persönlich, solide und typisch Lozärn Klares Führungsverständnis: Kundenorientierung, Konzentration auf das Wesentliche, gegenseitiges Vertrauen Personalentwicklung und Gesundheit Förderung von internen und externen Fort-/Weiterbildungen Ausbildung von jährlich rund 75 Lernenden mit Anschlusslösung Aktives Gesundheitsmanagement Personalrestaurant am Hauptsitz diverse Mitarbeiteranlässe und Vereinstätigkeiten Finanzielles und Benefits transparente und faire Lohnpolitik mit dem Grundsatz der Lohngleichheit grosszügige Dienstaltersgeschenke in Form von Geld und/oder Ferienbezug 16 Wochen vollbezahlter Mutterschaftsurlaub nach Möglichkeit unbezahlte Urlaube und Teilnahme an J+S-Leiterkursen Reka-Card und Job-Abo (Railcheck) Personalkonditionen auf LUKB-Dienstleistungen Berufliche Vorsorge autonome und umhüllende Pensionskasse der LUKB überobligatorische Leistungen Wir freuen uns auf Ihre Bewerbung Priska Herzog Personalgewinnung und -betreuung 041 206 27 46 cevfxn.urembt@yhxo.pu",public administration and international organizations
Starte mit uns in deine Zukunft und nutze die Entwicklungsmöglichkeiten bei Lidl Schweiz. Als Detailhandelsfachmann/-frau EFZ trägst du zum Erfolg deiner Lidl Filiale bei. Zusätzlich profitierst du vom Lidl-GAV und vielen attraktiven Benefits. Starte mit uns in deine Zukunft und nutze die Entwicklungsmöglichkeiten bei Lidl Schweiz. Die Filialen sind unser Mittelpunkt des Handelns. Als Detailhandelsfachmann/-frau EFZ trägst du zum Erfolg deiner Lidl Filiale bei. Nach erfolgreichem Lehrabschluss und bei guter persönlicher Eignung entwickeln wir dich zu einer Führungsposition in der Filiale.,wholesale and retail stores
Die railCare AG ist eine Tochtergesellschaft von Coop und beschäftigt rund 400 Mitarbeitende an 11 Standorten. Kombinierter Verkehr aus einer Hand. Als junges und innovatives Transportunternehmen vernetzen wir die ganze Schweiz mit eigenen Zügen und Lastwagen und befördern Güter des täglichen Bedarfs von Tür zu Tür. Die railCare AG ist eine Tochtergesellschaft von Coop und beschäftigt rund 400 Mitarbeitende an 11 Standorten. Durch unser Wachstum suchen wir für unseren Standort in Bern nach Vereinbarungen einen Schichtleiter in der Hoflogistik (m/w).,wholesale and retail stores
"The Role: Logitech is a world leader in products that connect people to their digital experiences. With a broad portfolio of interface devices, Logitechs leadership in innovation encompasses a wide variety of corded and cordless peripherals. Logitech is at the forefront of design and is creatively driving a richer experience for digital interactions. Creativity &amp; Productivity (C&amp;P) business group is the biggest division of Logitech, consisting of our mice, keyboards and presentation remotes. It is a key pillar of Logitechs past, present and future as a global brand known for great design and exceptional user experiences. Suggesting and driving product enhancements together with creating a roadmap for new technologies and leading the product / SW portfolio strategy for B2B are only a part of your future Logitech journey. These are the behaviors youll need for success at Logitech. Identify business-building opportunities based on comprehensive customers/users and market understanding Contribute to the overall product &amp; portfolio strategy in line with Logitech strategy and business objectives. Excellent command of English required The right candidate will be curious, insightful and creative, with a strong entrepreneurial mindset and hands-on attitude Flexibility to travel internationally 30% of the time In addition, preferableskills and behaviors include: Strong storytelling and communication skills Be strategic and hands on Be flexible working remotely while creating trust and great internal/external network Education: Graduate in business/ product design/marketing Logitech is the sweet spot for people who are passionate about products, making a mark, and having fun doing it. This role can be located in Lausanne, Cork, Windsor or Newark. The Role: Logitech is a world leader in products that connect people to their digital experiences. The global B2B Senior Product/Portfolio Manager for C&amp;P BG will lead the transformation of the B2B portfolio and product/SW development of C&amp;P categories from the initial business / customer opportunity, product value proposition to the successful market launch. The position calls for a strong business and product marketing experience with a deep B2B industry background. Decide and just Do. Participate in research to find out articulated and unarticulated customer needs Maintain intelligence on competition products performance Lead and/or participate in front-end innovation projects to identify new and valuable opportunities and develop meaningful and relevant product innovations Effectively prioritize and deliver multiple projects in a fast-paced environment Key Qualifications: For consideration, you must bring the following minimum skills and behaviors to our team: Minimum 8 years of demonstrable experience in a product/portfolio management position on B2B market, preferably Consumer Electronics or Software/Services domain Strong interest in consumer electronics and technology business, industry issues and competitors. As a company, were small and flexible enough for every person to take initiative and make things happen.",information and communication
"&amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; Das Luzerner Kantonsspital (LUKS) ist das gr&amp;amp;ouml;sste Zentrumsspital der Schweiz. F&amp;amp;uuml;r die Chirurgische Bettenstation des Kinderspital des Standorts Luzern suchen wir per 28. beim Bestellen, Verteilen und Eingeben der Mahlzeiten &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; Ihre Erfahrungen &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; Sie sind sozial kompetent sowie physisch und psychisch belastbar &amp;lt;br/&amp;gt; Sie sind teamf&amp;amp;auml;hig und flexibel &amp;lt;br/&amp;gt; Sie arbeiten selbst&amp;amp;auml;ndig und zuverl&amp;amp;auml;ssig &amp;lt;br/&amp;gt; Sie betreuen gerne pflegebed&amp;amp;uuml;rftige Kinder und sind bereit, nach Dienstpl&amp;amp;auml;nen zu arbeiten &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; Ihre Perspektiven &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; Sie leisten einen wichtigen Beitrag zu Teamwork und multidisziplin&amp;amp;auml;rer Zusammenarbeit &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; Ihr Weg zu uns &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; Wir freuen uns auf Ihre vollst&amp;amp;auml;ndige online Bewerbung &amp;amp;uuml;ber den untenstehenden Button. Bei Fragen wenden Sie sich bitte an Aline Deville, HR Abteilung, Tel: 041 205 44 20 &amp;lt;br/&amp;gt; &amp;lt;strong&amp;gt;Birgit Wernz, Leiterin Pflegedienst Kinderspital, Tel:&amp;lt;/strong&amp;gt; 041 205 32 06 (Sekretariat) &amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt; Spitalregion Luzern/Nidwalden",public administration and international organizations
"As the undisputed leader in professional services, Deloitte is where you'll find unrivaled opportunities to succeed and realize your full potential Deloitte is where you'll find unrivaled opportunities to succeed and realize your full potential. Deloitte can assist and provide advice in effectively navigating the myriad of tax, accounting, legal, regulatory, cultural, and labor issues in crossborder transactions to help manage compliance risks and potentially enhance returns.  The role involves applicability of tax and regulatory laws (Income-tax Act, Companies Act, Competition Act, SEBI, FEMA, corporate laws, stamp duty etc,) Qualifications  CA with 0-2 year Experience in M&A Taxation  Team player  Effective communication and presentation skills  People's person  Persistent and persuasive Your role as a leader At Deloitte India, we believe in the importance of leadership at all levels. In addition to living our purpose, Assistant Manager across our organization:  Develops knowledge of current tax legislation across the Global Tax and Legal function  Recognizes the key capabilities required to deliver a high quality service experience to the client  Collects, assimilates, and analyzes data and uses standard processes and tools to help surface and support solutions for solving problems in the Tax and Legal business  Applies technology knowledge to address client business challenges How you'll grow At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Explore Deloitte University, The Leadership Center. Benefits At Deloitte, we know that great people make a great organization. Learn more about what working at Deloitte can mean for you. Our purpose Deloitte is led by a purpose: To make an impact that matters. Every day, Deloitte people are making a real impact in the places they live and work. Learn more about Deloitte's impact on the world Recruiter tips We want job seekers exploring opportunities at Deloitte to feel prepared and confident. Check out recruiting tips from Deloitte professionals. To take the next step and join our progressive and motivated team, please contact Sowmya Satelli at ssatelli@deloitte.com Deloitte refers to one or more of Deloitte Touche Tohmatsu Limited, a UK private company limited by guarantee (“DTTL”), its network of member firms, and their related entities. DTTL (also referred to as “Deloitte Global”) does not provide services to clients. Please see www.deloitte.com/about for a more detailed description of DTTL and its member firms. This communication is for internal distribution and use only among personnel of Deloitte Touche Tohmatsu Limited, its member firms, and their related entities (collectively, the “Deloitte network”). None of the Deloitte network shall be responsible for any loss whatsoever sustained by any person who relies on this communication. For information, contact Deloitte Touche Tohmatsu Limited  Corporate and Group Restructuring: Conceptualization and presentation of alternate modes of restructuring for achieving various business and commercial objectives of the client such as: -Consolidation of business -Divestment of non-core business - Cash repatriation;-the value of business -Improvement of financial ratios -Acquisition of business or investments -Enhancement of Promoter's stake  Implementation of Scheme of Arrangement - Assisting clients in implementation of merger/ demerger schemes - Obtaining requisite NOCs from BSE / NSE, filing of first and second motion petition with the High Court, filings with RoC etc.  Business development and preparation of pitch presentations: Carrying out extensive research on various companies to identify possible restructuring opportunities in order to Tax Mergers & Acquisitions | Assistant Manager develop consulting business for the organization and preparation of client pitch presentation across sectors  Conducting diagnostic reviews & evolving options for cash repatriation for the investor(s) resident in specified jurisdictions.  The role involves applicability of tax and regulatory laws (Income-tax Act, Companies Act, Competition Act, SEBI, FEMA, corporate laws, stamp duty etc,) Qualifications  CA with 0-2 year Experience in M&A Taxation  Team player  Effective communication and presentation skills  People's person  Persistent and persuasive Your role as a leader At Deloitte India, we believe in the importance of leadership at all levels. From entry-level employees to senior leaders, we believe there's always room to learn. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Every day, Deloitte people are making a real impact in the places they live and work. DTTL and each of its member firms are legally separate and independent entities. This communication is for internal distribution and use only among personnel of Deloitte Touche Tohmatsu Limited, its member firms, and their related entities (collectively, the “Deloitte network”). None of the Deloitte network shall be responsible for any loss whatsoever sustained by any person who relies on this communication.",legal and consulting
